Title,User,StarsRating,Date,ReviewText
Everything but the sound.,johnorval,8/10,8 August 2022,"Just watched for the second time, on tv. The balance between the voices and all the other sounds, especially the music, is appalling. This certainly does not help anyone to understand what is going on.

It is visually impressive and contains exciting action sequences. The relationshipsbetween the characters could be described as ""British reserved"".

It deserves a rewatch or two, helped by a reading of the clues that others have written about.

It does not suffer from black screen time as some modern movies do, but, like too many, the sound balance and clarity of vocals is sub par, hence the drop to eight stars."
Another overblown nolan disaster,blond1000,1/10,6 August 2022,"After 10 minutes i was lost, after 60 minutes i was completely lost. After 100 minutes i was in the land of the bewildered, totally! Nolan has a very fertile imaginative mind but he doesnt seem to understand that movies are made for entertainment not for angst and frustration. Like INCEPTION this needs to be watched several times to be understood and even then too many questions remain unanswered. INTERSTELLAR should have/could have been a great movie but like tenet, was totally ruined by incessant loud noise passed off as music score, so bad, loud and annoying that dialogue could not be understood. Such a great pity, visuals were great, but thats all!"
"Hello, I am very suave",aguinness-48908,4/10,6 August 2022,"Whitty dialogue that's delivered woodenly quick and complete with multiple smirks - check

Cheesey characters pompously swanning around exchanging deep secrets within seconds of meeting to help the storyline - check

What? - check

Like mate, I can't make a smooth good video on tiktok but for goodness sake just slow the conversation down and make it seem at least a bit natural, rather than a formality that needs to be rushed to get to the next bravado scene."
Who knows what the heck is going on?,pdollak,5/10,5 August 2022,"The bigger problem is, who cares?

Really. It's not clear who anyone is, why they are doing whatever it is they are doing and, as stated at the outset, what the heck is going on."
"Excels in technical filmaking, drags in storyline",wlee08,6/10,5 August 2022,"Interesting concept lends itself to a demonstration of technical filmaking, especially in the special effects department, but doesn't lend itseld to a very good story. Some of the scenes crawl to a snails pace while we struggle to connect with any character drama, while the huge scenes, complete with explosions and car chases - scenes we are usually meant to sit back and enjoy - leave us in a state of confusion because of the backwards/forwards thing. Watching it again doesn't seem like it would help either, as its clear the writers felt free to pretty much bend the rules of this game.

I have no problem with bending the sci-fi rules, but how do you overlook the obvious stuff - like milllions of dollars (perhaps billions) in gold bullion bars being transported on a regular freight airline without any security, seemingly being pushed around on carts by airport maintenance workers? Even within the first minute something seemed off, as the musicians tuning their instruments at the opera are brought to a sudden hush. If you've heard orchestras tuning up before performance you will know what I mean - theres always one or two instruments that are still tuning for a second or two. They never come to a unanimous quiet on a dime like that. Any musician on set could have pointed this out."
Passing Thrills,danielfletcher121,7/10,4 August 2022,"Nolan has become the Harrods of blockbusters. Delivering a premium range of action movies. As such, with high-end fashion, the raw materials have been taken through a transformative process to produce a high quality item. However, you may say to yourself, I know the quality is there, but it looks a little weird. Can I see myself enjoying it on more than one occassion? You might get the initial thrill and admiration, but it won't replace that slightly cheaper, more enduring item that you will revisit time over.

Tenet brings to mind the concept of plural ignorance. Are we saying it's great because we think that we are supposed to, that we just assume that everyone is sycophantic about these overly complex ideas and that we are all afraid to say, 'actually you're talking rubbish there Chris'.

The acting is brilliant, the stunts are high octane hypnosis, whilst the last hour feels like watching a school boy return home and tell their parents everything he learnt in physics class that day.

Love Chris Nolan. Enjoy his films. But would love to see him just make a really good James Bond or Mission Impossible."
Artistry,coilfyzx,9/10,4 August 2022,"The thing that I love about Nolan, is that he seemingly does his best to totally disregard the QC checklist of a movie. Personally, personally I loved the artistry of the movie. I wish I could go in depth without sounding like I'm whining on his behalf but here we go.

I asked myself the questions 1. Does Christopher Nolan know how to ensure that vocals and language are clear in a film? Yes, he's done it before, it's a hallmark of his work.

2. Does he know how to develop characters such that the audience knows and relates to the protagonist? Adding; such that we also can predict to varying degrees plot reveals? Yes he can, he's done it countless times.

3. Does he know how to prepare the minds of the audience for the plot that is to come? Yes....must I repeat?

So if an accomplished Director ""drops the ball"" in any many of these areas, do we call it a bad film, overly clever...or do we not assume intention perhaps?

I'll agree Nolan's films aren't for everyone and some people will hate it, they are allowed to. Personally I see his supposed disregard for fundamentals as a fresh approach to story telling. I can always expect a niche experience. All the ""flaws"" of this movie felt very premeditated. I mean this was a movie of two melding time runs. So of course he experimented the HELL out of the pacing, how much we knew and when we knew it. Nolan's movie accomplishes one thing every time, they let you FEEL what it must be like to be in the film. Not knowing and understanding is kinda the point of the film, right? When we finally get told the effect that making that directional switch has, we understand that vision hearing and understanding are blurred. So when WE can't get the details at times doesn't that make you feel like you also made that switch? Should we be surprised that he attempted to give us that experience? In fact weren't we all watching this in reverse? The fact that it all made perfect sense gradually as the movie went on whilst ""missing"" dialogue is proof in my book of his intentions! Controlling the experience like Nolan does is something I'm not sure we're already for.

Boiled down therefore, what Christopher Nolan did was read us two bed time stories simultaneously, one in reverse word after word...That is artistry in my books. Writing and Directorial prowess. Captivating! It felt wholly original. Mind you, he is a psychopath for even attempting this, but I love it. More please."
Had to watch 3 times to understand (a bit),apietruchapoczta,6/10,4 August 2022,"I was mostly confused watching it for the first time, a bit confused watching for the second time and pretty convinced that I understand this plot the third time. I think it's a bit too complicated, it's an action movie in the end. I appreciate the effort though."
Rate for acting directing music of 10,EmaShah,1/10,3 August 2022,"Acting 1, Directing 1, Execution 1, Cinematography 3, Music 5, Production 10, Script scenario idea 10, Makeup 9, Custom 9.

I gave 10 for everything for Interstellar movie."
Expensive incoherent Waste of money and Time,ocacia,3/10,3 August 2022,"A film has a purpose! Like it or love it films have limits. And the gift of any artists is how they are able to communicate through film what they want to communicate. Just because a film bends forward and backwards and ""challenges our mind"" does not make it a masterpiece. It is just a expensive film that bends our mind. Hidden in all of the chaos of this film is poor storytelling. Why does he care so much about that woman and her child? So the motivations are not clear. All respect to Denzel's son but he is very bland and uninteresting. I did Like Kenneth and even Debicki. But within all this mind bending pretentious nonsense there still is no serious story. I did not care as the stakes were not put up high enough to make me care if they won or loss. It is not Dunkirk where you felt they were saving the world. I was not rooting for anyone. Nolan is not pushing boundaries he is just spinning off of Inception. And it is a flop. I cannot remember the music either, only the credits track. There are films you watch and you want to understand the meaning so bad, this is not one of them. Inception worked because within its complexity was a solid story. With solid acting. Please stop giving Nolan blind loyalty so he might rethink his next flick.

Technically the dialogue is very hard to hear at times. I had to put up my center channel to 7Db and the volume was all over the place. The fight scenes look so fake, like Matrix 2 and 3."
Another interesting topic ruined by a loud annoying soundtrack,boblin2-1,3/10,2 August 2022,"Per the title of the review, annoying, loud, droning, soundtracks have become a Christopher Nolan trademark. As soon as I see his name on the movie, its off my list of movies to see at the theater. Tenet was one such movie. I watched it this evening on Netflix. I had to turn the volume right down and switch on the subtitles. So, now I've seen it. I will never watch it again, nor will I recommend it, and its all down to the horrible soundtrack.

In summary, Christopher Nolan does it again; makes a movie on an interesting topic and then spreads droning, loud, painful, music all over the dialogue, great. Thanks for nothing!"
Tenet Predicted the Future,demiller74,10/10,1 August 2022,"I thought Tenet was a bizarre nonsensical movie, then February 24th 2022 happened. There are so many dang parallels that makes me think Noland distilled Vlad^2 and wrote this movie. Heck he based the Joker on another world leader who robbed banks, killed the help, and didn't care about $ so I shouldn't be surprised, right? Still makes the hair stand up on the back of my neck."
Could have been good...,monica-cohn08,4/10,31 July 2022,"What a mess this movie is. I watched it on demand which meant I could stop and rewind when I was confused, which was often. I enjoyed some of the action sequences and the movie would have been better if it stuck to that without all that ""inversion"" BS. After awhile I stopped paying attention and just wanted it to end because I WAS interested in seeing how things turned out. Film buffs may find the last part interesting with the combination of forward and backward special effects. I must be dim-witted because I still don't understand how the world was saved, (""spoiler"")..."
"Slightly mind bending, lots of fun",alex-17861,8/10,30 July 2022,"So having seen a lot of reviews for this film (lots negative), I was a bit worried. Let's be clear, its not one of the great films of cinema or even the best Nolan film. But it's interesting, makes you think a bit, has great action, good cast, and looks lovely. It does benefit from a 2nd viewing mind!"
Only Nolan can('t) do this,netmedia-1,10/10,30 July 2022,"A story which is too much to be told with a movie, or by any means available to humans. This is why it's a messy masterpiece. It deserves a 10/10 for pushing boundaries in a remarkabke way."
No one talks like this,pdc15725,4/10,30 July 2022,"The female characters in the movie seem to speak without inflection, at low volume, and with zero personality. The male characters aren't much better but at least you can hear them. Unfortunately, even if you can get past this, the plot makes little sense."
"A very good movie, a failure for Nolan",tancrevena,8/10,30 July 2022,"This movie is a very well built story, however, if we compare it to the other Christopher Nolan's movies, it emerges as one of the worst. Tenet has a different feeling from the others: although the plot seems very intricate and difficult to understand, the real problem lies in the characters: the evolution of some of these is non existing and so they result flat and boring throughout the movie. The only relationship that can be found is the one between Andrei and his wife Kat, however it's not interesting because it wasn't given enough depth. In Interstellar we have the father-daughter realtionship between Cooper and Murph; in Inception we have the husband-wife deal between Cobb and Mal and in The Prestige we have the rivalry between Borden, Angier and the love for their wives. Also the acting was not on a ""Nolan level"" this time: Kenneth Branagh seems unnatural in most of his anger scenes and the actors didn't have to deliver strong performance moments, such as in Interstellar and Inception. Furthermore, in all Nolan's movies there has always been a strong female character, since Memento; but in Tenet Kat's character is rough and not explored in depth. Keeping out the characters, Tenet is a brilliant movie with the incredible idea of time inversion and it's spectacular regarding the special effects on the big screen; Göransson's soundtrack is also always on point.

In conclusion I feel that this is a really great movie but a failure for Christopher Nolan because it fails in the aspects that made this director strong: the characters, and not only the complicated and impossible to understand plots. Just remember how he could turn a well known character such as Batman in an incredible, never told, story."
I never really felt connected to this film and I really wanted to like it.,planktonrules,4/10,28 July 2022,"""Tenet"" is a Christopher Nolan film that came out in the middle of COVID...so it didn't get the sort of theatrical release you'd expect. In fact, it very quickly came to cable and DVD.

The story is a very difficult one to both explain and connect with as you watch. It involves some sort of secret agent and his mission to somehow stop someone from sending items through time. Obviously some evil persons from the future and some from the present are in league together. What is NOT obvious is pretty much everything else about the movie! It is incredibly ambiguous and annoying...much of which is because you really have no idea who the 'Protagonist' (John David Washington) is working for, who he is or, well, pretty much ANYTHING about him. Calling him 'Protagonist' throughout the movie really heightens this problem.

In many ways, this is much like the rest of the story...vague and detached. As a result, it was very difficult to connect with anyone nor care about them. All you are left with are some insane stunts and a lot of action...and, oddly, an amazingly boring film. I really wanted to like this one...but it just felt as if the film wasn't meant to be enjoyed by most folks...just the few."
Back to the Future,albertval-69560,5/10,27 July 2022,"I agree with many of the reviews here. The story is over-complicated, chaotic and really confusing what with the moving forward and backward in time.

I wasn't inclined to watch it again a second time because it was so frustrating watching it the first time. The ending didn't clearly tell the viewer what happened except for Neil to say that ""what happened happened."" Duh.

The sci-fi gobbledygook (entropy of time, temporal pincer movement, turnstiles) was over the top and the viewer needed to be a physicist like Neill to understand the goings-on.

I admire the work of Christopher Nolan, particularly, the Batman movies, but this one is inscrutable. And he even wrote the story."
"Bad movie, don't recommend",buizelxd,3/10,26 July 2022,"Horrible.

I saw lots of movie a lot of them boring, but this movie made me sad and mad, i a way that made me write this review.

Ok so everyone is speaking of this movie and recommended me this one.

Everyone talked about how masterpiece it is or really hard to understand is this but the fact is, it isn't.

Why?

What i have to say is this: i was really focused to understand this and a lot of things don't come a long. It is not because of the fact that is hard but the fact that you don't get all the information you need for it to understand it.

The premise and the main idea is great but they should put a better description on why this is happening and how is happening because that Grandpa paradox was just a tiny bit of the whole process.

The characters we're well developed, the choreography behind it was amazing. The plot was 'meh' as i said before. Music was great and the plot twist were least expected final Rate 3/10 i wouldn't recommend this to any of my friends."
Confusing,tiituspoykk,5/10,18 July 2022,"Hard to follow, didn't know what or why things were happening 70% of the time. This was cool as a concept but the execution could have been more user friendly. Felt like they didn't explain the story enough for me to really get hooked on to it.

The score by Travis Scott was good and the ending was also a pleasant but overall, not that particularly great of a movie."
The Grandfather Paradox,Mateo-EGC,7/10,18 July 2022,"A complex feature film, especially for those who are unfamiliar with the topics that the film deals with, such as time travel.

Although the first part is weak in certain aspects in which it can get boring, like not understanding anything that happens, in the second half the plot is better understood to reach a great ending. Christopher Nolan is a master with his action scenes, which saves the first half is entertaining, and then demonstrate how great it is to bring to film topics such as time travel.

This film is a clear mix of so many genres that Nolan has brought to the movies, although it is understandable that not everyone likes these combinations."
Nolan's first film that I truly hate.,TrueCriticism,,18 July 2022,"6.9

Tenet is a very well executed film. It has a great concept and it's execution is by no means incredible, squeezing every ounce of juice from said concept to leave a lasting impression on your mind. That being said, it's not good. There are many problems with this film, such as it's runtime and pacing. This movie is a little hard to rate, but it's very clear that this movie is not his greatest.

Unlike some of his other movies, Tenet is completely devoid of emotion. The characters are not very interesting to the point where a soap opera would have characters with more depth. This is very, very disappointing if you include the fact that most of Nolan's movies were full to the brim will all kinds of emotions and characters that you can remember.

Another problem with this movie is that Nolan may have gotten to carried away with the concept. It's a very interesting one at that, but it's also a bit complicated to the point where multiple videos had to be created for the audience to understand. As I pointed out in my review for Doctor Strange 2, you shouldn't complicate things to the point where the viewer must do their homework to fully enjoy a movie, even though that is what the MCU has become.

In conclusion, Tenet is a great film with a great concept, but it seems that it's greatest weakness was the person who created the movie in the first place."
Poor Sound,nanobot-90-272383,5/10,15 July 2022,"Looked interesting the first time, but could not follow dialogue (I read Nolan made it hard to hear for a reason). Between the bad sound and overly complicated reversed time, not worth re-watching."
Really cool,jasminn_tan,7/10,11 July 2022,"Really cool idea but I think I might be too dumb for this movie. I love a good time paradox movie or show and I understood what happened on a surface level but it was still confusing to me. Even so, I had fun watching the action scenes and how the scenes played out in reverse. Truly an interesting experience."
The sound has been done by an unpaid intern. That's how it feels.,uvraver,4/10,10 July 2022,"The over dubbing is so poor. No character talks over another so you can tell the actors dubbed alone.

This results in a loss of atmosphere and a real amateur feel to the film.

The concept is brilliant and I bet there is no logical mistakes. Pre-planning meant there was no budget left for sound.

But the concept is played out in a simplistic back story.

Shows how hard it is to make a clever and great film I suppose."
Just Absorb the effects don't overthink it,lakings97,6/10,10 July 2022,"Tenet is a Christopher Nolan movie that he wrote, directed and produced. This is the first movie from Chris that I didn't care for much. The script was overly complicated and hard to follow. John David Washington was the actual Protagonist, he acted as the good guy but he was actually a bad guy but you don't know it. Robert Pattinson acts as his British counterpart to help the survival of the world from those who travel back in time to make a change at a certain point to our timeline. Kenneth Branagh played the Russian Oligarch who wants to change the timeline. The cast also included cameos from Michael Caine and Wes Chatham. Overall great concept with great special effects especially we reverse slo mo action sequences, but this isn't a movie I would watch again."
If I could turn back time,NPIan,1/10,9 July 2022,"That's two hours and twenty three minutes (one hundred and forty three minutes in total) of my life I won't get back. Or will I?

Absolutely complete and utter tosh."
Incomprehensible tosh,songtsan,4/10,8 July 2022,"I love sci Fi and will watch any movie but I think this was "" the emperor has no clothes"" they came up with a single theme and tried to make it into a movie like . Inception it is not however and tries to be way to clever for itself rather than create possibly a way more comprehensible and flowing movie."
A late review after my second time watching this greatness!,khalidmoubile,9/10,7 July 2022,"Tenet.

""Christopher Nolan in his lastest movie adopting the time inversion hypothesis, it's about an unnamed protagonist and his journey through a twilight world of international espionage on a mission that defines time differently.""

This is my second time watching this supernatural masterpiece and I'm as shocked as I was after the first or even more!

I remember that people kept saying that Nolan exaggerated in terms of making his film complicated to be fully understood, and all the bad feedbacks about Tenet, but man don't you see how wonderful this project is? How it's perfectly executed?

I just realized that this is absolutely the best directing in an action /sci-fi movie I've ever had the pleasure to watch!

The action scenes were fantastic for a sci-fi film, but the inverted action scenes were too perfect and too much for a human's brain.

Besides the excellence of directing, screenplay isn't a weak part, it might have some problems in terms of explaining more what we saw in this film, but Nolan has trusted us to get every piece of his puzzle, And I'm telling you after watching it two times, a couple of pieces are missing!

The storyline was full of twists, Mind-blowing ones, the dialogs weren't the best thing about this movie, a little bit ""over symbolic "".

Christopher Nolan isn't the only protagonist of this film, the charismatic John David Washington and the amazing Robert Pattinson are included, their action scenes were perfectly performed as their dialogs, I loved the chemistry and the partnership between the too actors and characters.

Elizabeth Debicki did well either , but their was a problem in her relationship with the protagonist, it's maybe the first time I witness a disappointing fail of Nolan to make one of his movies strong dramatically.

Finally the question is, Did Christopher Nolan reached his brain's limits after this film or he can go farther. Anyway I'm ready for his futuristic projects, and I can't wait to watch more of this man's work."
